11879.0	5691.0	2328.0	7.0	911.0	45000	911.0	7.0	probe12	0.748663101604
12069.0	4882.0	1986.0	6.0	894.0	45000	911.0	7.0	probe12	0.656455142232
13115.0	5059.0	2152.0	5.0	909.0	45000	911.0	7.0	probe12	0.538793103448
13226.0	5005.0	2112.0	8.0	898.0	45000	911.0	7.0	probe12	0.871459694989
12259.0	4924.0	2015.0	9.0	913.0	45000	911.0	7.0	probe12	0.966702470462
14095.0	5522.0	2570.0	11.0	901.0	45100	901.0	11.0	probe6	1.17647058824
11445.0	4801.0	1882.0	9.0	903.0	45100	901.0	11.0	probe6	0.970873786408
11636.0	4888.0	1986.0	12.0	908.0	45100	901.0	11.0	probe6	1.29032258065
12931.0	5031.0	2109.0	7.0	903.0	45100	901.0	11.0	probe6	0.759219088937
13579.0	5097.0	2204.0	8.0	906.0	45100	901.0	11.0	probe6	0.863930885529
12724.0	5020.0	2214.0	2.0	870.0	42400	870.0	2.0	probe10	0.225479143179
13372.0	5361.0	2535.0	3.0	858.0	42400	870.0	2.0	probe10	0.343249427918
11819.0	4721.0	1970.0	1.0	853.0	42400	870.0	2.0	probe10	0.115340253749
12279.0	4896.0	2184.0	3.0	844.0	42400	870.0	2.0	probe10	0.351288056206
12104.0	4777.0	2036.0	3.0	855.0	42400	870.0	2.0	probe10	0.344827586207
12715.0	5335.0	2392.0	17.0	903.0	44900	903.0	17.0	probe8	1.79704016913
12225.0	4946.0	1951.0	16.0	920.0	44900	903.0	17.0	probe8	1.68954593453
11928.0	4933.0	2011.0	8.0	910.0	44900	903.0	17.0	probe8	0.860215053763
12535.0	5006.0	2101.0	9.0	900.0	44900	903.0	17.0	probe8	0.976138828633
12135.0	4917.0	2033.0	9.0	898.0	44900	903.0	17.0	probe8	0.981461286805
12347.0	5235.0	2309.0	8.0	905.0	44900	905.0	8.0	probe2	0.856531049251
12012.0	4955.0	2081.0	9.0	891.0	44900	905.0	8.0	probe2	0.985761226725
11438.0	4777.0	1842.0	8.0	917.0	44900	905.0	8.0	probe2	0.856531049251
12049.0	5142.0	2203.0	10.0	902.0	44900	905.0	8.0	probe2	1.07874865156
11924.0	4900.0	1969.0	9.0	912.0	44900	905.0	8.0	probe2	0.961538461538
12224.0	5652.0	2288.0	12.0	909.0	44800	909.0	12.0	probe16	1.27795527157
12295.0	5021.0	2107.0	5.0	902.0	44800	909.0	12.0	probe16	0.542888165038
12004.0	4970.0	2060.0	10.0	908.0	44800	909.0	12.0	probe16	1.0752688172
12457.0	5155.0	2240.0	11.0	892.0	44800	909.0	12.0	probe16	1.20087336245
12598.0	5012.0	2137.0	7.0	897.0	44800	909.0	12.0	probe16	0.765027322404
13634.0	5380.0	2416.0	12.0	914.0	45400	914.0	12.0	probe18	1.27118644068
12530.0	5141.0	2176.0	10.0	907.0	45400	914.0	12.0	probe18	1.0775862069
12453.0	5044.0	2070.0	11.0	921.0	45400	914.0	12.0	probe18	1.16648992577
13555.0	5047.0	2109.0	12.0	907.0	45400	914.0	12.0	probe18	1.28755364807
11102.0	4994.0	2011.0	15.0	914.0	45400	914.0	12.0	probe18	1.5923566879
12380.0	5106.0	2182.0	11.0	904.0	45200	904.0	11.0	probe0	1.17647058824
11693.0	4994.0	2046.0	16.0	918.0	45200	904.0	11.0	probe0	1.69312169312
12155.0	5280.0	2338.0	10.0	916.0	45200	904.0	11.0	probe0	1.06609808102
12528.0	5067.0	2093.0	12.0	913.0	45200	904.0	11.0	probe0	1.28342245989
12396.0	4982.0	2050.0	12.0	912.0	45200	904.0	11.0	probe0	1.28205128205
12322.0	5266.0	2314.0	9.0	917.0	45300	917.0	9.0	probe14	0.954400848356
12836.0	4981.0	2043.0	8.0	909.0	45300	917.0	9.0	probe14	0.861141011841
10940.0	4981.0	2052.0	7.0	909.0	45300	917.0	9.0	probe14	0.752688172043
12524.0	5016.0	2084.0	6.0	910.0	45300	917.0	9.0	probe14	0.647948164147
12222.0	4960.0	1987.0	8.0	910.0	45300	917.0	9.0	probe14	0.861141011841
12746.0	5267.0	2323.0	8.0	916.0	45100	916.0	8.0	probe4	0.851970181044
12395.0	5101.0	2167.0	7.0	907.0	45100	916.0	8.0	probe4	0.755939524838
11963.0	4934.0	2024.0	11.0	908.0	45100	916.0	8.0	probe4	1.18279569892
13260.0	4931.0	1987.0	10.0	917.0	45100	916.0	8.0	probe4	1.06609808102
12583.0	5063.0	2160.0	9.0	895.0	45100	916.0	8.0	probe4	0.978260869565
11988.0	5270.0	2322.0	4.0	895.0	44600	895.0	4.0	probe13	0.434782608696
12089.0	4976.0	2091.0	6.0	905.0	44600	895.0	4.0	probe13	0.652883569097
12509.0	4895.0	2010.0	5.0	899.0	44600	895.0	4.0	probe13	0.544662309368
13008.0	4845.0	1961.0	4.0	892.0	44600	895.0	4.0	probe13	0.43956043956
11999.0	5028.0	2124.0	6.0	890.0	44600	895.0	4.0	probe13	0.659340659341
12188.0	5107.0	2191.0	9.0	903.0	44600	903.0	9.0	probe11	0.965665236052
11583.0	5005.0	2104.0	5.0	898.0	44600	903.0	9.0	probe11	0.544069640914
13080.0	5004.0	2113.0	9.0	901.0	44600	903.0	9.0	probe11	0.978260869565
12149.0	5162.0	2223.0	6.0	911.0	44600	903.0	9.0	probe11	0.647249190939
12895.0	4997.0	2127.0	9.0	888.0	44600	903.0	9.0	probe11	0.990099009901
12806.0	5329.0	2365.0	10.0	917.0	45200	917.0	10.0	probe7	1.06269925611
12622.0	5045.0	2114.0	7.0	912.0	45200	917.0	10.0	probe7	0.751072961373
